Date,price,transaction_stock_volumn,transaction_amount,cum_stock_volumn,cum_stock_value,cash,total
2024-01-02,23.68000030517578,,,,,,
2024-01-03,23.760000228881836,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-04,23.799999237060547,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-05,23.739999771118164,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-08,23.600000381469727,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-09,23.540000915527344,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-10,23.34000015258789,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-11,23.18000030517578,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-12,23.530000686645508,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-15,23.5,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-16,23.549999237060547,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-17,23.31999969482422,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-18,23.31999969482422,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-19,23.5,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-22,23.229999542236328,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-23,23.25,0.0,0.0,0.0,0.0,20000.0,20000.0
2024-01-24,23.850000381469727,100.0,2385.0000381469727,100.0,2385.0000381469727,17614.999961853027,20000.0
2024-01-25,23.940000534057617,0.0,0.0,100.0,2394.0000534057617,17614.999961853027,20009.00001525879
2024-01-26,24.1299991607666,0.0,0.0,100.0,2412.99991607666,17614.999961853027,20027.999877929688
2024-01-29,24.270000457763672,0.0,0.0,100.0,2427.000045776367,17614.999961853027,20042.000007629395
2024-01-30,24.100000381469727,0.0,0.0,100.0,2410.0000381469727,17614.999961853027,20025.0
2024-01-31,24.399999618530273,0.0,0.0,100.0,2439.9999618530273,17614.999961853027,20054.999923706055
2024-02-01,24.149999618530273,0.0,0.0,100.0,2414.9999618530273,17614.999961853027,20029.999923706055
2024-02-02,24.280000686645508,0.0,0.0,100.0,2428.000068664551,17614.999961853027,20043.000030517578
2024-02-05,24.760000228881836,0.0,0.0,100.0,2476.0000228881836,17614.999961853027,20090.99998474121
2024-02-06,24.719999313354492,0.0,0.0,100.0,2471.999931335449,17614.999961853027,20086.999893188477
2024-02-07,24.700000762939453,0.0,0.0,100.0,2470.0000762939453,17614.999961853027,20085.000038146973
2024-02-08,24.639999389648438,0.0,0.0,100.0,2463.9999389648438,17614.999961853027,20078.99990081787
2024-02-19,25.200000762939453,0.0,0.0,100.0,2520.0000762939453,17614.999961853027,20135.000038146973
2024-02-20,25.540000915527344,0.0,0.0,100.0,2554.0000915527344,17614.999961853027,20169.00005340576
2024-02-21,25.389999389648438,0.0,0.0,100.0,2538.9999389648438,17614.999961853027,20153.99990081787
2024-02-22,25.549999237060547,0.0,0.0,100.0,2554.9999237060547,17614.999961853027,20169.999885559082
2024-02-23,25.690000534057617,0.0,0.0,100.0,2569.0000534057617,17614.999961853027,20184.00001525879
